1,Fox News,FoxNews,"America’s Strongest Primetime Lineup Anywhere! Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos.",418612,398,18262321,4271,98.0126434090377,0
2,Michelle Obama,MichelleObama,"Girl from the South Side and former First Lady. Wife, mother, dog lover. Always hugger-in-chief.",1015,18,11553648,2572,0.39463452566096424,0
3,Hillary Clinton,HillaryClinton,"2016 Democratic Nominee, SecState, Senator, hair icon. Mom, Wife, Grandma x2, lawyer, advocate, fan of walks in the woods & standing up for our democracy.",10566,785,23615708,2056,5.139105058365759,0
4,Barack Obama,BarackObama,"Dad, husband, President, citizen.",15552,617759,103304085,4283,3.631099696474434,0
5,Bill Gates,BillGates,Sharing things I'm learning through my foundation work and other interests.,2885,201,46029703,3441,0.8384190642255158,0
6,Georgia State U.,GeorgiaStateU,This is the official twitter account for Georgia State University. Follow us for the latest news and information about #TheStateWay. Go Panthers! #GeorgiaState,16314,498,39048,3532,4.618912797281993,0
7,Eric R. Wright,DrEricRWright,Medical Sociologist; Professor of Sociology and Public Health at Georgia State University,44,182,86,1608,0.02736318407960199,0
8,MadhuLatha,MadhuLatha0712,,1,7,2,354,0.002824858757062147,0
9,GSU Arts & Sciences,GSUArtSci,The College of Arts and Sciences at Georgia State University,3923,427,3163,3448,1.1377610208816706,0
10,swathik kumar,SwathikKumar,5.10.,5,35,18,1365,0.003663003663003663,0
11,Raabta,RaabtaOfficial,"The official twitter account of Raabta, a movie directed by Dinesh Vijan, starring Sushant Singh Rajput and Kriti Sanon. Music by JAM8.",21382,24,6129,614,34.82410423452769,0
12,Sai Dharam Tej,IamSaiDharamTej,Actor,2276,40,1538852,1191,1.9109991603694374,0
13,Nivetha Thomas,i_nivethathomas,Actress Nivetha Thomas Official Twitter handle,1487,60,1250048,982,1.5142566191446027,0
14,KTR,KTRTRS,"Personal handle of Minister for Industry, Municipal Administration, ITE&C, Mines, Handlooms & Textiles, NRI Affairs | Government of Telangana",5799,54,1447674,3191,1.8172986524600439,0
15,Suriya Sivakumar,Suriya_offl,Actor/Producer,1330,29,4831733,1360,0.9779411764705882,0
16,BWF,bwfmedia,Welcome to the Badminton World Federation (BWF) official Twitter! We are the governing body for the sport of badminton. Watch us on https://t.co/y96ROtzpzV!,14542,108,99533,2743,5.301494713816989,0
17,Rathnavelu ISC,RathnaveluDop,"Director of Photography - Syeraa,Endhiran(Robot), Rangasthalam,1Nenokadine.VaranamAyiram, Nandha,Sethu,Thirumalai,Arya",1653,113,58298,1526,1.083224115334207,0
18,Raj Tarun,itsRajTarun,Actor & Writer at Telugu Film Industry,1944,138,537301,3099,0.6272991287512101,0
19,Sukumar Writings,SukumarWritings,A Tollywood Production Company Owned By Well-Acclaimed Director Sukumar.,967,37,5399,1488,0.6498655913978495,0
20,Indian BadmintonFans,BadmintonArmy,Place for all Indian Badminton Fans to connect and cheer for our stars together.,222,28,808,1049,0.21163012392755004,0
21,Sushanth A,iamSushanthA,Actor Engineer Learner,6428,144,575853,2796,2.2989985693848354,0
22,Gauthamvasudevmenon,menongautham,Engineering films,571,1,3039183,2531,0.22560252864480443,0
23,Circle of Cricket,circleofcricket,"For all the latest cricket updates, follow us! For Advertisement queries - info@circleofcricket.com",37999,671,90796,2825,13.450973451327433,0
24,Sushant Singh Rajput,itsSSR,self_sufficient 🔱,112,742,1598256,1500,0.07466666666666667,0
25,Ileana D'Cruz,Ileana_Official,still thinking of something awesome to say..,3136,24,2684715,1845,1.699728997289973,0
26,Yami Gautam,yamigautam,Actor.,3638,59,3472176,2123,1.713612812058408,0
27,Nargis,NargisFakhri,Download my App https://t.co/CWZoskEX5q,13540,212,3960458,3245,4.172573189522342,0
